name,baseCurrency,quoteCurrency,type,bid,change1h
TULIP/USD,TULIP,USD,spot,8.8825,0.005087620124364048
TWTR/USD,TWTR,USD,spot,49.03,0.0
UBER/USD,UBER,USD,spot,30.35,0.002808524698496613
UBXT/USD,UBXT,USD,spot,0.011525,-0.00774526678141136
UBXT/USDT,UBXT,USDT,spot,0.01149,-0.00043346337234503684
UMEE/USD,UMEE,USD,spot,0.06093,0.014463840399002495
UNI/BTC,UNI,BTC,spot,0.0001798,0.017207334273624825
UNI/USD,UNI,USD,spot,6.976,0.02480916030534351
UNI/USDT,UNI,USDT,spot,6.976,0.026149551931834877
USDT/USD,USDT,USD,spot,1.0,0.0
USO/USD,USO,USD,spot,77.915,0.0
UST/USD,UST,USD,spot,0.9998,0.0
UST/USDT,UST,USDT,spot,0.9998,0.0
VGX/USD,VGX,USD,spot,1.11075,0.00404767258826175
WAVES/USD,WAVES,USD,spot,12.443,0.020023750051185455
WBTC/BTC,WBTC,BTC,spot,1.0006,-9.9930048965724e-05
WBTC/USD,WBTC,USD,spot,38717.0,0.006755527840569543
WFLOW/USD,WFLOW,USD,spot,4.654,0.01849217638691323
WNDR/USD,WNDR,USD,spot,0.8115,0.0
WRX/USD,WRX,USD,spot,0.51621,0.01839329719073435
WRX/USDT,WRX,USDT,spot,0.51631,0.01600566293725544
XAUT/USD,XAUT,USD,spot,1872.5,0.0
XAUT/USDT,XAUT,USDT,spot,1867.3,0.0
XRP/BTC,XRP,BTC,spot,1.595e-05,0.005037783375314861
XRP/JPY,XRP,JPY,spot,80.45,0.012823736484787528
XRP/USD,XRP,USD,spot,0.6176,0.010429874432492126
XRP/USDT,XRP,USDT,spot,0.617775,0.010881570873389241
YFI/BTC,YFI,BTC,spot,0.44775,0.003923766816143498
YFI/USD,YFI,USD,spot,17345.0,0.011357018054746652
YFI/USDT,YFI,USDT,spot,17330.0,0.009612583745994756
YFII/USD,YFII,USD,spot,1486.5,0.013637913399249914
YGG/USD,YGG,USD,spot,1.40225,0.018498367791077257
ZM/USD,ZM,USD,spot,104.26,-0.0007667241709794901
ZRX/USD,ZRX,USD,spot,0.723,0.030561478322672354
ADABEAR/USD,ADABEAR,USD,spot,1e-08,0.0
ADABULL/USD,ADABULL,USD,spot,8.5225,0.04709480122324159
ADAHALF/USD,ADAHALF,USD,spot,36675.0,0.006708652792990142
ADAHEDGE/USD,ADAHEDGE,USD,spot,8.074,-0.01253193819199416
ALGOBEAR/USD,ALGOBEAR,USD,spot,,0.0
ALGOBULL/USD,ALGOBULL,USD,spot,5e-08,0.0
ALGOHALF/USD,ALGOHALF,USD,spot,13226.5,0.01609433817315818
ALGOHEDGE/USD,ALGOHEDGE,USD,spot,50.0,-0.047619047619047616
ALTBEAR/USD,ALTBEAR,USD,spot,2.134e-05,-0.026624548736462094
ALTBULL/USD,ALTBULL,USD,spot,2.399,0.04079430174832722
ALTHALF/USD,ALTHALF,USD,spot,18685.0,0.005792437650844731
ALTHEDGE/USD,ALTHEDGE,USD,spot,109.14,-0.00679470918644682
ASDBEAR/USD,ASDBEAR,USD,spot,3.14e-06,-0.024844720496894408
ASDBEAR/USDT,ASDBEAR,USDT,spot,3.14e-06,0.0
ASDBULL/USD,ASDBULL,USD,spot,0.02635,0.0
ASDBULL/USDT,ASDBULL,USDT,spot,0.02649,0.0
ASDHALF/USD,ASDHALF,USD,spot,14112.0,0.000808805429546014
ASDHEDGE/USD,ASDHEDGE,USD,spot,68.865,0.0
ATOMBEAR/USD,ATOMBEAR,USD,spot,,0.0
ATOMBULL/USD,ATOMBULL,USD,spot,0.0003998,0.04740932642487047
ATOMHALF/USD,ATOMHALF,USD,spot,20944.0,0.005599157733537519
ATOMHEDGE/USD,ATOMHEDGE,USD,spot,16.37,-0.004984894259818731
BALBEAR/USD,BALBEAR,USD,spot,1.88e-06,-0.03015075376884422
BALBEAR/USDT,BALBEAR,USDT,spot,1.87e-06,-0.035
BALBULL/USD,BALBULL,USD,spot,0.002312,0.028731907539425363
BALBULL/USDT,BALBULL,USDT,spot,0.002308,0.010729143858112546
BALHALF/USD,BALHALF,USD,spot,10008.5,0.006214885894694973
BALHEDGE/USD,BALHEDGE,USD,spot,70.58,-0.018944519621109608
BCHBEAR/USD,BCHBEAR,USD,spot,0.00016275,-0.010074074074074074
BCHBEAR/USDT,BCHBEAR,USDT,spot,0.00016335,-0.032090199479618386
BCHBULL/USD,BCHBULL,USD,spot,0.0004444,0.027217056021773645
BCHBULL/USDT,BCHBULL,USDT,spot,0.0004436,0.020639600816511682
